seqnum ,source_seqnum,who_entered,use_rank,country_seqnum ,station_id,latitude,longitude,elevation (masl),name
1440001,120,7,1,111,INAMEH_3D07A07A,4.047302,-67.700254,90,San Fernando de Atabapo
1440002,120,7,1,111,ONCC_IMUNIC709,10.19067,-64.67006,5,Lechería
1440003,120,7,1,111,ONCC_IBIRUA2,7.8791,-67.51927,15,Biruaca
1440004,120,7,1,111,AR_compi0121,10.1248,-67.4449,459,Bella Vista
1440005,120,7,1,111,AR_compi0157,10.27103,-67.61141,450,Bomberos UCV Maracay
1440006,120,7,1,111,AR_compi0130,10.2918,-67.5612,515,Camburito
1440007,120,7,1,111,AR_compi0104,10.236807,-67.27791,554,El Consejo
1440008,120,7,1,111,AR_compi0133,10.2269166,-67.49074,476,El Macaro
1440009,120,7,1,111,ONCC_IMUNIC684,9.482635,-66.696388,217,Finca La Davicera
1440010,120,7,1,111,AR_compi0158,10.41934,-67.77921,44,Hacienda Las Bromelias
1440011,120,7,1,111,AR_compi0103,10.248983,-67.58158,453,Independencia
1440012,120,7,1,111,AR_compi0106,10.288953,-67.638498,462,La Candelaria
1440013,120,7,1,111,AR_compi0120,10.186439,-67.479909,469,La Carpiera
1440014,120,7,1,111,AR_compi0155,10.209465,-67.546045,429,La Morita
1440015,120,7,1,111,AR_compi0102,10.235569,-67.530664,446,La Providencia
1440016,120,7,1,111,AR_compi0126,10.2338,-67.3147,601,Las Mercedes
1440017,120,7,1,111,AR_compi0123,10.2836067,-67.193893,774,Llano Grande
1440018,120,7,1,111,AR_compi0124,10.2638,-67.1772,549,Los Alpes II
1440019,120,7,1,111,AR_compi0156,9.953549,-67.157926,387,Los Manires
1440020,120,7,1,111,AR_compi0101,10.219173,-67.596129,419,Los Samanes
1440021,120,7,1,111,ONCC_IMUNIC706,10.254868,-67.609715,460,Maracay Centro
1440022,120,7,1,111,AR_compi0129,10.246317,-67.561461,449,Montaña Fresca
1440023,120,7,1,111,AR_compi0119,10.2007191,-67.586957,419,Paraparal
1440024,120,7,1,111,AR_compi0128,9.791158,-66.909423,250,PC Camatagua
1440025,120,7,1,111,AR_compi0125,10.25,-67.1767,510,PC Las Tejerías
1440026,120,7,1,111,AR_compi0127,9.946376,-67.17427,362,PC San Sebastián
1440027,120,7,1,111,AR_compi0105,10.179501,-67.511452,450,PC Santa Cruz
1440028,120,7,1,111,ONCC_IGIRAR9,10.228794,-67.578392,437,Piñonal
1440029,120,7,1,111,AR_compi0131,10.3232,-67.5557,630,Planta Vieja
1440030,120,7,1,111,AR_compi0122,10.1781,-67.5194,453,Surupey
1440031,120,7,1,111,AR_compi0132,10.3163785,-67.621451,514,Valle Verde
1440032,120,7,1,111,ONCC_IBOLIVAR5,8.28862,-62.72332,110,Ciudad Guayana
1440033,120,7,1,111,ONCC_IMUNIC646,6.86893,-63.30991,274,La Paragua
1440034,120,7,1,111,ONCC_IMONTA384,10.23896,-68.28871,668,Agropecuaria Don Raúl
1440035,120,7,1,111,ONCC_IMUNIC609,10.20998,-68,486,El Trigal
1440036,120,7,1,111,CA_compi0108,10.192231,-67.998728,446,PC Carabobo
1440037,120,7,1,111,DA_compi0112,9.1648611,-62.152269,10,El Zamuro
1440038,120,7,1,111,DA_compi0110,9.2275396,-62.074361,1,La Horqueta
1440039,120,7,1,111,DA_compi0109,9.016483,-62.05967,7,PC Tucupita
1440040,120,7,1,111,DA_compi0113,9.056657,-62.038162,4,Tucupita Centro
1440041,120,7,1,111,DA_compi0111,8.8850173,-62.036907,10,Volcán
1440042,120,7,1,111,ONCC_ICARAC2,10.47986,-66.95953,975,La Yaguara
1440043,120,7,1,111,ONCC_IDCCARAC3,10.50973,-66.899917,906,San Bernardino
1440044,120,7,1,111,FA_compi0116,11.422203,-69.647353,17,PC_Falcón1
1440045,120,7,1,111,ONCC_ISILVA23,10.7899,-68.31985,5,Tucacas
1440046,120,7,1,111,ONCC_IMUNIC656,9.21004,-65.98999,178,ASOGAMA
1440047,120,7,1,111,ONCC_IMUNIC618,8.87997,-66.46,126,Chaguaramita
1440048,120,7,1,111,ONCC_IMUNIC633,9.0009,-65.74959,119,El Socorro
1440049,120,7,1,111,ONCC_IMUNIC652,9.18012,-66.3299,196,Los Negros
1440050,120,7,1,111,GU_compi0117,9.849004,-66.387033,349,PC Altagracia
1440051,120,7,1,111,ONCC_IMUNIC726,9.038032,-65.506898,118,Santa María de Ipire
1440052,120,7,1,111,ONCC_IMUNIC525,9.85772,-66.382141,350,YV5VEWX Altagracia
1440053,120,7,1,111,ONCC_IVARGA20,10.62246,-66.71747,15,Camuri
1440054,120,7,1,111,ONCC_IVARGA15,10.61012,-66.83007,17,Caraballeda
1440055,120,7,1,111,ONCC_IVARGA24,10.59135,-66.99083,166,PC La Guaira
1440056,120,7,1,111,ONCC_IIRIBA8,10.02998,-69.37978,628,Loma
1440057,120,7,1,111,ONCC_IALBER107,8.59433,-71.79336,53,El Vigía
1440058,120,7,1,111,ONCC_ILIBER204,8.62249,-71.13924,1748,URO El Amparo
1440059,120,7,1,111,ONCC_IBARUT17,10.439091,-66.879799,1043,El Peñon
1440060,120,7,1,111,DC_compi0114,10.4037618,-66.88951,866,INAMEH
1440061,120,7,1,111,ONCC_ISUCREMU2,10.46004,-66.74999,1108,La Dolorita
1440062,120,7,1,111,ONCC_IMUNIC602,10.96995,-64.18025,3,Museo Marino
1440063,120,7,1,111,ONCC_IMUNIC718,10.98182,-63.80919,6,Pampatar
1440064,120,7,1,111,ONCC_IMUNIC571,11.06001,-63.98005,16,Pedregales
1440065,120,7,1,111,PO_compi0153,9.60833,-69.05858,155,Agrícola El Corozo
1440066,120,7,1,111,ONCC_ISANTA1600,9.117667,-69.046348,104,El Playón
1440067,120,7,1,111,PO_compi0118,9.599016,-69.383067,637,Finca Las Elenas
1440068,120,7,1,111,ONCC_ITURN4,9.262237,-68.822612,99,La Reforma
1440069,120,7,1,111,ONCC_ISANTA1942,9.08283,-68.854938,88,Santa Rosa de Lima
1440070,120,7,1,111,ONCC_ISUCRE18,10.444773,-64.170648,1,Cumaná UTEC
1440071,120,7,1,111,TA_compi0137,7.823947,-72.199434,974,Arjona
1440072,120,7,1,111,TA_compi0139,7.7612,-72.2267,863,Barrio Las Delicias
1440073,120,7,1,111,ONCC_ISANCR178,7.770579,-72.222355,925,Barrio Obrero
1440074,120,7,1,111,ONCC_IGARCA15,8.19375,-72.19808,373,La Fría
1440075,120,7,1,111,TA_compi0138,7.679574,-72.340673,825,Rubio
1440076,120,7,1,111,ONCC_IGARCA20,8.43937,-72.26624,44,Sipú
1440077,120,7,1,111,TA_compi0136,7.829639,-72.240373,1057,Toiquito
1440078,120,7,1,111,ONCC_IESCUQ4,9.32023,-70.6808,1260,Escuque
1440079,120,7,1,111,ONCC_ITRUJI40,9.379502,-70.431356,693,MINEC Trujillo
1440080,120,7,1,111,ONCC_IPAMPA9,9.42135,-70.4603,448,Pampanito
1440081,120,7,1,111,ZU_compi0148,11.001432,-71.986998,9.3,Caña Brava
1440082,120,7,1,111,ZU_compi0147,10.981889,-71.956333,10,Dos Bocas
1440083,120,7,1,111,ZU_compi0141,10.968295,-71.746425,1,El Moján
1440084,120,7,1,111,ZU_compi0146,10.9930531,-71.950555,2,El Sargento
1440085,120,7,1,111,ZU_compi0152,10.966922,-71.758446,6,ETP Kaüye Añú
1440086,120,7,1,111,INAMEH_3D0858BE,11.165754,-72.228399,114,Guana
1440087,120,7,1,111,ONCC_IMACHI22,9.53097,-72.49093,21,Hacienda Isabel Cristina
1440088,120,7,1,111,ONCC_ICOLN27,8.84745,-71.84764,11,Hacienda Materita
1440089,120,7,1,111,ZU_compi0144,10.969275,-72.122282,13,INIA Carrasquero
1440090,120,7,1,111,ZU_compi0149,11.0904416,-71.95885,7,La Cañera
1440091,120,7,1,111,ZU_compi0151,10.9634654,-71.953132,7,Las Lomas 2
1440092,120,7,1,111,ZU_compi0145,10.994182,-71.969707,6,Las Playitas
1440093,120,7,1,111,ZU_compi0154,11.2878,-71.94757,1,Los Aceitunitos
1440094,120,7,1,111,ZU_compi0142,10.955343,-72.226142,3,Manuelote
1440095,120,7,1,111,ONCC_ISUCRE21,9.20666,-71.13754,10,Paso Alto
1440096,120,7,1,111,ZU_compi0150,11.0236997,-71.998687,9,PC Carrasquero
1440097,120,7,1,111,ZU_compi0140,10.80929,-71.754075,60,PC Mara
1440098,120,7,1,111,ZU_compi0143,10.7844186,-71.893535,3,Wüinpala
